Year,State,Evs,Infrastructure,Electricity_Price,Gas_Price,Median_Income,Political_Control,Car_Price_Difference,Lithium_Price,EV_Range,Combined_EV_Tax_Credit,Motor_Fuel_Tax,HOV_Access
2020,RI,14.2917,5.0162,22.43,1.3258,90380,0.9117,3897,190,259,10000,35,0
2021,RI,22.8878,5.7242,22.39,2.1668,80850,0.9117,11281,169,234,10000,35,0
2022,RI,35.2885,7.0577,24.64,2.7547,80650,0.9117,17197,153,257,10000,35,0
2014,SC,0.7546,0.5121,12.62,2.5644,54350,0.2568,2958,356,84,7500,16,0
2015,SC,1.0139,0.6705,12.65,1.6143,56120,0.2527,1539,325,90,7500,16,0
2016,SC,1.3312,0.7584,12.39,1.39,65200,0.2487,6108,298,218,7500,16,0
2017,SC,1.7585,0.9739,12.73,1.6058,64310,0.2487,3021,261,194,7500,18,0
2018,SC,3.092,1.0897,12.43,1.8653,66400,0.2487,1504,229,213,7500,20,0
2019,SC,4.91,1.2489,13.01,1.7218,70650,0.2961,18661,211,239,7500,22,0
2020,SC,7.2874,1.4166,13.15,1.2192,68020,0.3436,3897,190,259,7500,24,0
2021,SC,12.4301,1.6597,13.81,2.0682,67440,0.2781,11281,169,234,7500,26,0
2022,SC,19.8923,1.8683,14.68,2.6867,61770,0.2127,17197,153,257,7500,28,0
2014,SD,0.2944,0.3769,11.27,2.5819,64170,0.1333,2958,356,84,7500,28,0
2015,SD,0.3747,0.281,11.7,1.6773,66660,0.119,1539,325,90,7500,28,0
2016,SD,0.5099,0.4635,12.18,1.3702,68930,0.1048,6108,298,218,7500,28,0
2017,SD,0.8821,0.5385,12.43,1.6396,67110,0.1024,3021,261,194,7500,30,0
2018,SD,1.6615,0.8763,12.35,1.9152,68730,0.1,1504,229,213,7500,30,0
2019,SD,2.8825,1.4356,12.28,1.7728,73190,0.0833,18661,211,239,7500,30,0
2020,SD,3.8407,1.498,12.51,1.2183,79120,0.0667,3897,190,259,7500,30,0
2021,SD,6.2033,1.7405,12.7,2.1012,79680,0.069,11281,169,234,7500,30,0
2022,SD,9.8805,1.9343,13.25,2.619,67180,0.0714,17197,153,257,7500,30,0
2014,TN,2.6127,1.4126,10.37,2.5513,52880,0.1481,2958,356,84,7500,20,0
2015,TN,3.0586,1.3093,10.63,1.6081,57290,0.1414,1539,325,90,7500,20,0
2016,TN,3.7496,1.4941,10.63,1.3909,61610,0.1347,6108,298,218,7500,20,0
2017,TN,4.4151,1.5755,10.53,1.591,65210,0.1364,3021,261,194,7500,24,0
2018,TN,6.4224,1.6909,10.7,1.853,64800,0.138,1504,229,213,7500,25,0
2019,TN,8.9645,1.7674,10.44,1.7024,64500,0.1431,18661,211,239,7500,26,0
2020,TN,11.848,1.9362,11.18,1.2027,61970,0.1481,3897,190,259,7500,26,0
2021,TN,17.6731,2.3651,11.5,2.0587,67030,0.1448,11281,169,234,7500,26,0
2022,TN,26.2421,2.3748,13.07,2.6703,65380,0.1414,17197,153,257,7500,26,0
2014,TX,1.8213,0.682,12.03,2.5568,65170,0.3508,2958,356,84,7500,20,0
2015,TX,2.5639,0.7368,11.41,1.6195,68360,0.3558,1539,325,90,7500,20,0
2016,TX,3.3592,0.8741,11,1.3729,69770,0.3608,6108,298,218,7500,20,0
2017,TX,4.394,0.9609,11.24,1.6276,70860,0.3888,3021,261,194,7500,20,0
2018,TX,7.2183,1.0947,11.69,1.892,69100,0.4169,1504,229,213,7500,20,0
2019,TX,8.3201,1.3826,11.97,1.7388,76820,0.4249,18661,211,239,7500,20,0
2020,TX,12.4716,1.6426,11.89,1.2209,77110,0.433,3897,190,259,7500,20,0
2021,TX,21.9091,1.8558,12.56,2.0718,72680,0.4199,11281,169,234,7500,20,0
2022,TX,37.0438,2.1022,14.77,2.6777,74640,0.4069,17197,153,257,7500,20,0
2014,UT,3.1871,0.4903,10.25,2.632,76670,0.1072,2958,356,84,7500,24.5,1
2015,UT,4.5073,0.9021,10.58,1.8318,80200,0.1112,1539,325,90,7500,24.5,1
2016,UT,6.5881,0.9797,10.69,1.4618,80970,0.1152,6108,298,218,7500,29.4,1
2017,UT,8.4842,1.2512,10.6,1.7282,82290,0.1299,3021,261,194,7500,29.4,1
2018,UT,13.5022,1.7219,10.32,2.1423,89080,0.1445,1504,229,213,7500,29.4,1
2019,UT,20.5399,2.9632,10.42,1.9144,96270,0.1445,18661,211,239,7500,30,1
2020,UT,27.0738,4.9239,10.25,1.4514,94680,0.1445,3897,190,259,7500,30,1
2021,UT,39.8349,5.9234,10.52,2.4342,94510,0.1493,11281,169,234,7500,0.32,1
2022,UT,61.5367,5.4921,10.99,2.7217,95800,0.1542,17197,153,257,7500,0.32,1
